Task_Depth Estimation,Task_Image Classification,Task_Image Generation,Task_Object Detection,Task_Semantic Segmentation,Task_Text to Image,Task_Text-to-Image,accuracy_norm,difficulty
False,False,False,False,True,False,False,0.3132530120481926,0.0
False,False,False,False,True,False,False,0.2481927710843373,0.0
False,False,False,False,True,False,False,0.0674698795180723,0.0
False,False,False,False,True,False,False,0.0,0.0
False,True,False,False,False,False,False,1.0,
False,True,False,False,False,False,False,0.5000000000000008,
False,True,False,False,False,False,False,0.3043478260869561,
False,True,False,False,False,False,False,0.1304347826086959,
False,True,False,False,False,False,False,0.0543478260869565,
False,True,False,False,False,False,False,0.0,
False,True,False,False,False,False,False,1.0,
False,False,False,False,True,False,False,1.0,0.0859375
False,False,False,False,True,False,False,0.9975822050290136,0.0859375
False,False,False,False,True,False,False,0.9975822050290136,0.0859375
False,False,False,False,True,False,False,0.995164410058027,0.0859375
False,False,False,False,True,False,False,0.9830754352030948,0.0859375
False,False,False,False,True,False,False,0.9637330754352031,0.0859375
False,False,False,False,True,False,False,0.9613152804642164,0.0859375
False,False,False,False,True,False,False,0.9516441005802708,0.0859375
False,False,False,False,True,False,False,0.946808510638298,0.0859375
False,False,False,False,True,False,False,0.9395551257253384,0.0859375
False,False,False,False,True,False,False,0.9323017408123792,0.0859375
False,False,False,False,True,False,False,0.9250483558994196,0.0859375
False,False,False,False,True,False,False,0.8911992263056093,0.0859375
False,False,False,False,True,False,False,0.8887814313346228,0.0859375
False,False,False,False,True,False,False,0.8887814313346228,0.0859375
False,False,False,False,True,False,False,0.88394584139265,0.0859375
False,False,False,False,True,False,False,0.88394584139265,0.0859375
False,False,False,False,True,False,False,0.88394584139265,0.0859375
False,False,False,False,True,False,False,0.8815280464216635,0.0859375
False,False,False,False,True,False,False,0.8766924564796905,0.0859375
False,False,False,False,True,False,False,0.8718568665377177,0.0859375
False,False,False,False,True,False,False,0.8718568665377177,0.0859375
False,False,False,False,True,False,False,0.8718568665377177,0.0859375
False,False,False,False,True,False,False,0.8694390715667312,0.0859375
False,False,False,False,True,False,False,0.8694390715667312,0.0859375
False,False,False,False,True,False,False,0.8670212765957447,0.0859375
False,False,False,False,True,False,False,0.8621856866537717,0.0859375
False,False,False,False,True,False,False,0.8573500967117988,0.0859375
False,False,False,False,True,False,False,0.8549323017408124,0.0859375
False,False,False,False,True,False,False,0.8549323017408124,0.0859375
False,False,False,False,True,False,False,0.8500967117988394,0.0859375
False,False,False,False,True,False,False,0.847678916827853,0.0859375
False,False,False,False,True,False,False,0.84284332688588,0.0859375
False,False,False,False,True,False,False,0.8404255319148936,0.0859375
False,False,False,False,True,False,False,0.8355899419729208,0.0859375
False,False,False,False,True,False,False,0.8355899419729208,0.0859375
False,False,False,False,True,False,False,0.8283365570599612,0.0859375
False,False,False,False,True,False,False,0.8235009671179885,0.0859375
False,False,False,False,True,False,False,0.821083172147002,0.0859375
False,False,False,False,True,False,False,0.816247582205029,0.0859375
False,False,False,False,True,False,False,0.8138297872340425,0.0859375
False,False,False,False,True,False,False,0.8114119922630562,0.0859375
False,False,False,False,True,False,False,0.8089941972920697,0.0859375
False,False,False,False,True,False,False,0.8065764023210832,0.0859375
False,False,False,False,True,False,False,0.8065764023210832,0.0859375
False,False,False,False,True,False,False,0.8041586073500967,0.0859375
False,False,False,False,True,False,False,0.7993230174081238,0.0859375
False,False,False,False,True,False,False,0.7993230174081238,0.0859375
False,False,False,False,True,False,False,0.7993230174081238,0.0859375
False,False,False,False,True,False,False,0.7993230174081238,0.0859375
False,False,False,False,True,False,False,0.7969052224371374,0.0859375
False,False,False,False,True,False,False,0.7920696324951644,0.0859375
False,False,False,False,True,False,False,0.7920696324951644,0.0859375
False,False,False,False,True,False,False,0.7896518375241779,0.0859375
False,False,False,False,True,False,False,0.7896518375241779,0.0859375
False,False,False,False,True,False,False,0.7896518375241779,0.0859375
False,False,False,False,True,False,False,0.7872340425531915,0.0859375
False,False,False,False,True,False,False,0.7872340425531915,0.0859375
False,False,False,False,True,False,False,0.784816247582205,0.0859375
False,False,False,False,True,False,False,0.784816247582205,0.0859375
False,False,False,False,True,False,False,0.7823984526112185,0.0859375
False,False,False,False,True,False,False,0.7823984526112185,0.0859375
False,False,False,False,True,False,False,0.7823984526112185,0.0859375
False,False,False,False,True,False,False,0.7799806576402321,0.0859375
False,False,False,False,True,False,False,0.7775628626692456,0.0859375
False,False,False,False,True,False,False,0.7751450676982593,0.0859375
False,False,False,False,True,False,False,0.7751450676982593,0.0859375
False,False,False,False,True,False,False,0.7751450676982593,0.0859375
False,False,False,False,True,False,False,0.7734526112185687,0.0859375
False,False,False,False,True,False,False,0.7727272727272727,0.0859375
False,False,False,False,True,False,False,0.7707930367504836,0.0859375
False,False,False,False,True,False,False,0.7703094777562862,0.0859375
False,False,False,False,True,False,False,0.7703094777562862,0.0859375
False,False,False,False,True,False,False,0.7678916827852997,0.0859375
False,False,False,False,True,False,False,0.7606382978723405,0.0859375
False,False,False,False,True,False,False,0.7558027079303674,0.0859375
False,False,False,False,True,False,False,0.7558027079303674,0.0859375
False,False,False,False,True,False,False,0.7533849129593809,0.0859375
False,False,False,False,True,False,False,0.7533849129593809,0.0859375
False,False,False,False,True,False,False,0.7509671179883947,0.0859375
False,False,False,False,True,False,False,0.7364603481624759,0.0859375
False,False,False,False,True,False,False,0.7292069632495164,0.0859375
False,False,False,False,True,False,False,0.7292069632495164,0.0859375
False,False,False,False,True,False,False,0.72678916827853,0.0859375
False,False,False,False,True,False,False,0.7243713733075435,0.0859375
False,False,False,False,True,False,False,0.721953578336557,0.0859375
False,False,False,False,True,False,False,0.721953578336557,0.0859375
False,False,False,False,True,False,False,0.7195357833655706,0.0859375
False,False,False,False,True,False,False,0.7171179883945841,0.0859375
False,False,False,False,True,False,False,0.7147001934235977,0.0859375
False,False,False,False,True,False,False,0.7122823984526112,0.0859375
False,False,False,False,True,False,False,0.7122823984526112,0.0859375
False,False,False,False,True,False,False,0.7122823984526112,0.0859375
False,False,False,False,True,False,False,0.7098646034816247,0.0859375
False,False,False,False,True,False,False,0.7098646034816247,0.0859375
False,False,False,False,True,False,False,0.7098646034816247,0.0859375
False,False,False,False,True,False,False,0.7093810444874273,0.0859375
False,False,False,False,True,False,False,0.7074468085106382,0.0859375
False,False,False,False,True,False,False,0.7074468085106382,0.0859375
False,False,False,False,True,False,False,0.7050290135396517,0.0859375
False,False,False,False,True,False,False,0.7050290135396517,0.0859375
False,False,False,False,True,False,False,0.6977756286266924,0.0859375
False,False,False,False,True,False,False,0.6977756286266924,0.0859375
False,False,False,False,True,False,False,0.6953578336557059,0.0859375
False,False,False,False,True,False,False,0.6929400386847194,0.0859375
False,False,False,False,True,False,False,0.6929400386847194,0.0859375
False,False,False,False,True,False,False,0.6924564796905223,0.0859375
False,False,False,False,True,False,False,0.6905222437137332,0.0859375
False,False,False,False,True,False,False,0.6905222437137332,0.0859375
False,False,False,False,True,False,False,0.6905222437137332,0.0859375
False,False,False,False,True,False,False,0.6881044487427467,0.0859375
False,False,False,False,True,False,False,0.6856866537717602,0.0859375
False,False,False,False,True,False,False,0.6856866537717602,0.0859375
False,False,False,False,True,False,False,0.6832688588007737,0.0859375
False,False,False,False,True,False,False,0.6832688588007737,0.0859375
False,False,False,False,True,False,False,0.6832688588007737,0.0859375
False,False,False,False,True,False,False,0.6784332688588008,0.0859375
False,False,False,False,True,False,False,0.6784332688588008,0.0859375
False,False,False,False,True,False,False,0.6762572533849129,0.0859375
False,False,False,False,True,False,False,0.6760154738878144,0.0859375
False,False,False,False,True,False,False,0.6760154738878144,0.0859375
False,False,False,False,True,False,False,0.6735976789168279,0.0859375
False,False,False,False,True,False,False,0.6711798839458414,0.0859375
False,False,False,False,True,False,False,0.6706963249516441,0.0859375
False,False,False,False,True,False,False,0.6687620889748549,0.0859375
False,False,False,False,True,False,False,0.6663442940038685,0.0859375
False,False,False,False,True,False,False,0.6663442940038685,0.0859375
False,False,False,False,True,False,False,0.663926499032882,0.0859375
False,False,False,False,True,False,False,0.6619922630560929,0.0859375
False,False,False,False,True,False,False,0.6615087040618955,0.0859375
False,False,False,False,True,False,False,0.6615087040618955,0.0859375
False,False,False,False,True,False,False,0.6615087040618955,0.0859375
False,False,False,False,True,False,False,0.6566731141199226,0.0859375
False,False,False,False,True,False,False,0.655705996131528,0.0859375
False,False,False,False,True,False,False,0.6470019342359767,0.0859375
False,False,False,False,True,False,False,0.6470019342359767,0.0859375
False,False,False,False,True,False,False,0.6460348162475822,0.0859375
False,False,False,False,True,False,False,0.6448259187620891,0.0859375
False,False,False,False,True,False,False,0.6445841392649903,0.0859375
False,False,False,False,True,False,False,0.6397485493230174,0.0859375
False,False,False,False,True,False,False,0.6397485493230174,0.0859375
False,False,False,False,True,False,False,0.6397485493230174,0.0859375
False,False,False,False,True,False,False,0.6397485493230174,0.0859375
False,False,False,False,True,False,False,0.6397485493230174,0.0859375
False,False,False,False,True,False,False,0.6368471953578336,0.0859375
False,False,False,False,True,False,False,0.6349129593810444,0.0859375
False,False,False,False,True,False,False,0.6324951644100579,0.0859375
False,False,False,False,True,False,False,0.6300773694390717,0.0859375
False,False,False,False,True,False,False,0.6283849129593811,0.0859375
False,False,False,False,True,False,False,0.6276595744680852,0.0859375
False,False,False,False,True,False,False,0.6276595744680852,0.0859375
False,False,False,False,True,False,False,0.6262088974854932,0.0859375
False,False,False,False,True,False,False,0.6252417794970987,0.0859375
False,False,False,False,True,False,False,0.6223404255319149,0.0859375
False,False,False,False,True,False,False,0.6179883945841393,0.0859375
False,False,False,False,True,False,False,0.61605415860735,0.0859375
False,False,False,False,True,False,False,0.6155705996131529,0.0859375
False,False,False,False,True,False,False,0.6109767891682785,0.0859375
False,False,False,False,True,False,False,0.6107350096711799,0.0859375
False,False,False,False,True,False,False,0.6083172147001934,0.0859375
False,False,False,False,True,False,False,0.6083172147001934,0.0859375
False,False,False,False,True,False,False,0.605899419729207,0.0859375
False,False,False,False,True,False,False,0.605899419729207,0.0859375
False,False,False,False,True,False,False,0.6034816247582205,0.0859375
False,False,False,False,True,False,False,0.601063829787234,0.0859375
False,False,False,False,True,False,False,0.5986460348162476,0.0859375
False,False,False,False,True,False,False,0.5962282398452611,0.0859375
False,False,False,False,True,False,False,0.5962282398452611,0.0859375
False,False,False,False,True,False,False,0.5955029013539652,0.0859375
False,False,False,False,True,False,False,0.5938104448742747,0.0859375
False,False,False,False,True,False,False,0.5887330754352031,0.0859375
False,False,False,False,True,False,False,0.5882495164410058,0.0859375
False,False,False,False,True,False,False,0.5865570599613152,0.0859375
False,False,False,False,True,False,False,0.5865570599613152,0.0859375
False,False,False,False,True,False,False,0.5860735009671181,0.0859375
False,False,False,False,True,False,False,0.5807543520309477,0.0859375
False,False,False,False,True,False,False,0.5793036750483559,0.0859375
False,False,False,False,True,False,False,0.5788201160541585,0.0859375
False,False,False,False,True,False,False,0.577852998065764,0.0859375
False,False,False,False,True,False,False,0.5744680851063829,0.0859375
False,False,False,False,True,False,False,0.5727756286266924,0.0859375
False,False,False,False,True,False,False,0.5715667311411993,0.0859375
False,False,False,False,True,False,False,0.5705996131528047,0.0859375
False,False,False,False,True,False,False,0.5696324951644102,0.0859375
False,False,False,False,True,False,False,0.5652804642166345,0.0859375
False,False,False,False,True,False,False,0.5633462282398451,0.0859375
False,False,False,False,True,False,False,0.5623791102514506,0.0859375
False,False,False,False,True,False,False,0.5563346228239845,0.0859375
False,False,False,False,True,False,False,0.553916827852998,0.0859375
False,False,False,False,True,False,False,0.5488394584139266,0.0859375
False,False,False,False,True,False,False,0.5454545454545455,0.0859375
False,False,False,False,True,False,False,0.5401353965183752,0.0859375
False,False,False,False,True,False,False,0.5328820116054158,0.0859375
False,False,False,False,True,False,False,0.5287717601547388,0.0859375
False,False,False,False,True,False,False,0.5234526112185687,0.0859375
False,False,False,False,True,False,False,0.5212765957446809,0.0859375
False,False,False,False,True,False,False,0.5203094777562862,0.0859375
False,False,False,False,True,False,False,0.5188588007736944,0.0859375
False,False,False,False,True,False,False,0.5140232108317214,0.0859375
False,False,False,False,True,False,False,0.5091876208897486,0.0859375
False,False,False,False,True,False,False,0.5082205029013539,0.0859375
False,False,False,False,True,False,False,0.4729206963249517,0.0859375
False,False,False,False,True,False,False,0.4608317214700194,0.0859375
False,False,False,False,True,False,False,0.4535783365570599,0.0859375
False,False,False,False,True,False,False,0.4439071566731141,0.0859375
False,False,False,False,True,False,False,0.4100580270793037,0.0859375
False,False,False,False,True,False,False,0.4076402321083172,0.0859375
False,False,False,False,True,False,False,0.4028046421663442,0.0859375
False,False,False,False,True,False,False,0.4028046421663442,0.0859375
False,False,False,False,True,False,False,0.3810444874274661,0.0859375
False,False,False,False,True,False,False,0.3423597678916827,0.0859375
False,False,False,False,True,False,False,0.3423597678916827,0.0859375
False,False,False,False,True,False,False,0.2606382978723404,0.0859375
False,False,False,False,True,False,False,0.2579787234042554,0.0859375
False,False,False,False,True,False,False,0.1873791102514506,0.0859375
False,False,False,False,True,False,False,0.0,0.0859375
False,True,False,False,False,False,False,1.0,
False,True,False,False,False,False,False,1.0,
False,True,False,False,False,False,False,0.0,
True,False,False,False,False,False,False,1.0,1.0
True,False,False,False,False,False,False,0.9694310784036232,1.0
True,False,False,False,False,False,False,0.9555618454571186,1.0
True,False,False,False,False,False,False,0.8686668553637136,1.0
True,False,False,False,False,False,False,0.776110953863572,1.0
True,False,False,False,False,False,False,0.7579960373620154,1.0
True,False,False,False,False,False,False,0.7526181715256156,1.0
True,False,False,False,False,False,False,0.7427115765638268,1.0
True,False,False,False,False,False,False,0.6965751485989244,1.0
True,False,False,False,False,False,False,0.6883668270591565,1.0
True,False,False,False,False,False,False,0.6807245966600624,1.0
True,False,False,False,False,False,False,0.6560996320407585,1.0
True,False,False,False,False,False,False,0.4641947353523917,1.0
True,False,False,False,False,False,False,0.0,1.0
False,True,False,False,False,False,False,1.0,
False,True,False,False,False,False,False,0.0,
False,True,False,False,False,False,False,1.0,
False,True,False,False,False,False,False,0.0,
False,True,False,False,False,False,False,1.0,
False,True,False,False,False,False,False,0.9997508098679292,
False,True,False,False,False,False,False,0.9995016197358586,
False,True,False,False,False,False,False,0.9850485920757536,
False,True,False,False,False,False,False,0.6979815599302267,
False,True,False,False,False,False,False,0.0,
False,True,False,False,False,False,False,1.0,
False,True,False,False,False,False,False,0.9673913043478324,
False,True,False,False,False,False,False,0.9184782608695694,
False,True,False,False,False,False,False,0.9021739130434816,
False,True,False,False,False,False,False,0.8532608695652187,
False,True,False,False,False,False,False,0.6576086956521744,
False,True,False,False,False,False,False,0.3152173913043487,
False,True,False,False,False,False,False,0.0,
False,True,False,False,False,False,False,1.0,
False,True,False,False,False,False,False,0.6640625000000001,
False,True,False,False,False,False,False,0.5546875000000008,
False,True,False,False,False,False,False,0.4687500000000001,
False,True,False,False,False,False,False,0.4531249999999999,
False,True,False,False,False,False,False,0.4453125000000003,
False,True,False,False,False,False,False,0.3890625000000004,
False,True,False,False,False,False,False,0.3828125000000005,
False,True,False,False,False,False,False,0.3656250000000006,
False,True,False,False,False,False,False,0.3437500000000005,
False,True,False,False,False,False,False,0.3281250000000003,
